report: reports/scan-hash-v72-post-mirror-cleanup.json
count: 4398
total_bytes: 31133090273

- /home/gabriel/Pictures/20140723 and earlier/Thumbs.db | category=unknown | size=1624064 | proposed=None
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01306.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=4744 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01306.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01306.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2600 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01306.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01307.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5577 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01307.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01307.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2719 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01307.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01308.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=4286 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01308.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01308.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2081 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01308.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01334.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5515 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01334.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01334.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2696 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01334.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01335.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5505 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01335.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01335.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2773 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01335.cb62bbdd389b48898f2e5244977cb2c5.jpg
