report: reports/scan-hash-v72-post-mirror-cleanup.json
count: 1375
total_bytes: 2544872626

By extension:
- .db: 672
- .au: 565
- .pdf: 30
- <none>: 25
- .mp3: 23
- .xml: 20
- .kdenlive: 12
- .mka: 5
- .wmv: 4
- .lvix: 4
- .wav: 3
- .phd: 2
- .xcf: 2
- .aup: 2
- .log: 2
- .flv: 1
- .ogg: 1
- .osp: 1
- .svg: 1

Files:
- /home/gabriel/Pictures/2012/04/17/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/19/Thumbs.db | ext=.db | size=24576 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/21/Thumbs.db | ext=.db | size=20992 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/22/Thumbs.db | ext=.db | size=17920 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/29/Thumbs.db | ext=.db | size=27648 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/30/Thumbs.db | ext=.db | size=15360 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/05/01/Thumbs.db | ext=.db | size=10240 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/05/06/Thumbs.db | ext=.db | size=18432 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/05/09/Thumbs.db | ext=.db | size=24576 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/05/10/Thumbs.db | ext=.db | size=22528 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/05/13/Thumbs.db | ext=.db | size=29696 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/05/17/Thumbs.db | ext=.db | size=11776 | date_source=path | proposed=None
